stationId,stationName,scheduledDeparture,expectedDeparture,actualDeparture,delaySeconds,isDelayed,destination,lineId,lineName,lineCode,transportMode,serviceJourneyId,realtime,scrapedAt
NSR:StopPlace:61251,Øksnavadporten stasjon,2026-04-19T16:05:00+02:00,2026-04-19T16:06:11+02:00,2026-04-19T16:06:11+02:00,71.0,1,Stavanger,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3045_63088-R,True,2026-04-19T17:32:49.379743+02:00
NSR:StopPlace:61251,Øksnavadporten stasjon,2026-04-19T16:19:00+02:00,2026-04-19T16:19:18+02:00,2026-04-19T16:19:18+02:00,18.0,1,Egersund,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3048_63093-R,True,2026-04-19T17:32:49.379743+02:00
NSR:StopPlace:61251,Øksnavadporten stasjon,2026-04-19T16:35:00+02:00,2026-04-19T16:37:01+02:00,2026-04-19T16:37:01+02:00,121.0,1,Stavanger,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3047_63091-R,True,2026-04-19T17:32:49.379743+02:00
NSR:StopPlace:61251,Øksnavadporten stasjon,2026-04-19T16:49:00+02:00,2026-04-19T16:49:37+02:00,2026-04-19T16:49:37+02:00,37.0,1,Nærbø,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3050_63096-R,True,2026-04-19T17:32:49.379743+02:00
NSR:StopPlace:61295,Haugastøl stasjon,2026-04-19T16:13:00+02:00,2026-04-19T16:15:24+02:00,2026-04-19T16:15:24+02:00,144.0,1,Bergen,VYG:Line:F4,Oslo S-Bergen,F4,rail,VYG:ServiceJourney:601-LOD_456939-R,True,2026-04-19T17:32:49.379743+02:00
NSR:StopPlace:61291,Stavanger stasjon,2026-04-19T16:04:00+02:00,2026-04-19T16:04:32+02:00,2026-04-19T16:04:32+02:00,32.0,1,Oslo S,GOA:Line:50,Sørtoget region,F5,rail,GOA:ServiceJourney:716-STV_63249-R,True,2026-04-19T17:32:49.379743+02:00
NSR:StopPlace:61291,Stavanger stasjon,2026-04-19T16:23:00+02:00,2026-04-19T16:23:36+02:00,2026-04-19T16:23:36+02:00,36.0,1,Nærbø,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3050_63096-R,True,2026-04-19T17:32:49.379743+02:00
NSR:StopPlace:61291,Stavanger stasjon,2026-04-19T16:53:00+02:00,2026-04-19T16:53:31+02:00,2026-04-19T16:53:31+02:00,31.0,1,Egersund,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3052_63100-R,True,2026-04-19T17:32:49.379743+02:00
NSR:StopPlace:4,Otta stasjon,2026-04-19T16:23:00+02:00,2026-04-19T16:23:40+02:00,2026-04-19T16:23:40+02:00,40.0,1,Oslo S,SJN:Line:21,Dovrebanen,F6,rail,SJN:ServiceJourney:46-TND_30196-R,True,2026-04-19T17:32:49.379743+02:00
NSR:StopPlace:8,Paradis stasjon,2026-04-19T16:26:00+02:00,2026-04-19T16:25:59+02:00,2026-04-19T16:25:59+02:00,-1.0,0,Nærbø,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3050_63096-R,True,2026-04-19T17:32:49.379743+02:00
