stationId,stationName,scheduledDeparture,expectedDeparture,actualDeparture,delaySeconds,isDelayed,destination,lineId,lineName,lineCode,transportMode,serviceJourneyId,realtime,delaySource,cancellation,situationSummary,situationDescription,situationReportType,situationSeverity,scrapedAt
NSR:StopPlace:58404,Nationaltheatret,2026-05-09T02:42:00+02:00,2026-05-09T02:54:43+02:00,2026-05-09T02:54:43+02:00,763.0,1,Grorud T,RUT:Line:31,Snarøya - Fornebu - Tonsenhagen - Grorud,31,bus,RUT:ServiceJourney:7e629570d32118597be67448c72e7927,True,actual,False,,,,,2026-05-09T03:11:14.457090+02:00
NSR:StopPlace:60944,Ski stasjon,2026-05-09T03:00:00+02:00,2026-05-09T03:12:03+02:00,2026-05-09T03:12:03+02:00,723.0,1,Son via Ås,RUT:Line:2540,Oslo - Ski - Ås - Vestby (nattbuss),540N,bus,RUT:ServiceJourney:db3e8a0390fecf0c44cf7f7873e8dc46,True,actual,False,,,,,2026-05-09T05:31:14.763184+02:00
NSR:StopPlace:61608,Kristiansand stasjon,2026-05-09T03:45:00+02:00,2026-05-09T03:54:06+02:00,2026-05-09T03:54:06+02:00,546.0,1,Stavanger,GOA:Line:50,Sørtoget region,F5,rail,GOA:ServiceJourney:725-LOD_67061-R,True,actual,False,,,,,2026-05-09T05:31:14.763184+02:00
NSR:StopPlace:59636,Holmlia stasjon,2026-05-09T02:56:00+02:00,2026-05-09T03:05:06+02:00,2026-05-09T03:05:06+02:00,546.0,1,Åsbråten,RUT:Line:3919,Kringsjå - Åsbråten,19N,bus,RUT:ServiceJourney:10a675fcae8b81ff5404310597ec9ccc,True,actual,False,,,,,2026-05-09T03:21:15.077295+02:00
NSR:StopPlace:58917,Marnardal stasjon,2026-05-09T04:16:00+02:00,2026-05-09T04:25:00+02:00,2026-05-09T04:25:00+02:00,540.0,1,Stavanger,GOA:Line:50,Sørtoget region,F5,rail,GOA:ServiceJourney:725-LOD_67061-R,True,actual,False,,,,,2026-05-09T05:31:14.763184+02:00
NSR:StopPlace:58918,Nodeland stasjon,2026-05-09T03:56:00+02:00,2026-05-09T04:04:44+02:00,2026-05-09T04:04:44+02:00,524.0,1,Stavanger,GOA:Line:50,Sørtoget region,F5,rail,GOA:ServiceJourney:725-LOD_67061-R,True,actual,False,,,,,2026-05-09T05:31:14.763184+02:00
NSR:StopPlace:58892,Audnedal stasjon,2026-05-09T04:31:00+02:00,2026-05-09T04:38:58+02:00,2026-05-09T04:38:58+02:00,478.0,1,Stavanger,GOA:Line:50,Sørtoget region,F5,rail,GOA:ServiceJourney:725-LOD_67061-R,True,actual,False,,,,,2026-05-09T05:31:14.763184+02:00
NSR:StopPlace:59635,Hauketo stasjon,2026-05-09T02:54:00+02:00,2026-05-09T03:01:45+02:00,2026-05-09T03:01:45+02:00,465.0,1,Åsbråten,RUT:Line:3919,Kringsjå - Åsbråten,19N,bus,RUT:ServiceJourney:10a675fcae8b81ff5404310597ec9ccc,True,actual,False,,,,,2026-05-09T03:21:15.077295+02:00
NSR:StopPlace:59650,Nyland stasjon,2026-05-09T05:22:00+02:00,2026-05-09T05:29:39+02:00,2026-05-09T05:29:39+02:00,459.0,1,Oslo lufthavn,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,Radiumhospitalet via Økern-Storo-Tåsen,FB3,bus,NBU:ServiceJourney:f0f7dd2e-b62b-4186-9b42-9757efdb8612,True,actual,False,,,,,2026-05-09T05:31:14.763184+02:00
NSR:StopPlace:58404,Nationaltheatret,2026-05-09T03:24:00+02:00,2026-05-09T03:30:25+02:00,2026-05-09T03:30:25+02:00,385.0,1,Jernbanetorget,RUT:Line:9842,Voksen skog - Jernbanetorget,42N,bus,RUT:ServiceJourney:a64e305de1903e0c6093fab7d78251c7,True,actual,False,,,,,2026-05-09T05:31:14.763184+02:00
NSR:StopPlace:58211,Oslo lufthavn,2026-05-09T05:15:00+02:00,2026-05-09T05:21:05+02:00,2026-05-09T05:21:05+02:00,365.0,1,Majorstuen via Torshov-Sagene,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,Majorstuen via Torshov-Sagene,FB1,bus,NBU:ServiceJourney:67acc2a7-96e5-4d47-874b-39a92a77bc9c,True,actual,False,,,,,2026-05-09T05:31:14.763184+02:00
NSR:StopPlace:58921,Vennesla stasjon,2026-05-09T03:17:00+02:00,2026-05-09T03:22:55+02:00,2026-05-09T03:22:55+02:00,355.0,1,Stavanger,GOA:Line:50,Sørtoget region,F5,rail,GOA:ServiceJourney:725-LOD_67061-R,True,actual,False,,,,,2026-05-09T05:31:14.763184+02:00
NSR:StopPlace:58404,Nationaltheatret,2026-05-09T03:21:00+02:00,2026-05-09T03:26:53+02:00,2026-05-09T03:26:53+02:00,353.0,1,Nydalen T,RUT:Line:37,Nydalen T - Helsfyr,37,bus,RUT:ServiceJourney:41d8cd379640131dc078479d01c81039,True,actual,False,,,,,2026-05-09T05:31:14.763184+02:00
NSR:StopPlace:58921,Vennesla stasjon,2026-05-09T02:36:00+02:00,2026-05-09T02:41:40+02:00,2026-05-09T02:41:40+02:00,340.0,1,Oslo S,GOA:Line:50,Sørtoget region,F5,rail,GOA:ServiceJourney:726-KVB_63257-R,True,actual,False,,,,,2026-05-09T03:01:31.465624+02:00
NSR:StopPlace:58856,Lysaker stasjon,2026-05-09T03:14:00+02:00,2026-05-09T03:19:38+02:00,2026-05-09T03:19:38+02:00,338.0,1,Jernbanetorget,RUT:Line:9842,Voksen skog - Jernbanetorget,42N,bus,RUT:ServiceJourney:a64e305de1903e0c6093fab7d78251c7,True,actual,False,,,,,2026-05-09T05:31:14.763184+02:00
